sid,label
SRS4430382,1
SRS4430377,1
SRS4430373,1
SRS4430367,0
SRS4430366,1
SRS4430364,1
SRS4430363,1
SRS4430360,1
SRS4430358,0
SRS4430353,1
SRS4430346,1
SRS4430343,1
SRS4430342,0
SRS4430341,0
SRS4430328,1
SRS4430324,1
SRS4430305,0
SRS4430302,1
SRS4430299,1
SRS4430293,0
SRS4430290,1
SRS4430289,1
SRS4430288,1
SRS4430284,1
SRS4430282,0
SRS4430275,0
SRS4430270,0
SRS4430255,1
SRS4430241,1
SRS4430230,0
SRS4430224,1
SRS4430218,1
SRS4430195,1
SRS4430185,1
SRS4430184,1
SRS4430180,1
SRS4430176,0
SRS4430177,0
SRS4430166,0
SRS4430130,1
SRS4430129,1
SRS4430127,1
SRS4430108,0
SRS4430107,1
SRS4430100,0
SRS4430079,0
SRS4430078,0
SRS4430076,1
SRS4430073,1
SRS4430072,1
SRS4430069,1
SRS4430062,1
SRS4430409,0
SRS4430407,1
SRS4430397,0
SRS4430389,1
SRS4430388,1
