sid,label
DRS061668,0
DRS061669,0
DRS061670,0
DRS061671,0
DRS061673,1
DRS061674,0
DRS061676,0
DRS061678,1
DRS061679,0
DRS061681,0
DRS061682,0
DRS061684,1
DRS061685,1
DRS061686,0
DRS061687,0
DRS061688,0
DRS061689,0
DRS061690,0
DRS061691,0
DRS061692,0
DRS061693,0
DRS061695,1
DRS061696,0
DRS061697,0
DRS061698,0
DRS061699,0
DRS061700,0
DRS061701,0
DRS061702,0
DRS061705,1
DRS061707,0
DRS061708,1
DRS061709,0
DRS061710,0
DRS061711,0
DRS061712,0
DRS061714,1
DRS061715,0
DRS061716,0
DRS061718,1
DRS061719,0
DRS061720,1
DRS061721,0
DRS061722,0
DRS061726,1
DRS061727,0
DRS061728,0
DRS061729,1
DRS137177,0
DRS137183,0
DRS137195,0
DRS137207,0
DRS137219,0
